,g,r,z,redshift,re
0,22.92,22.11,21.48,0.614,0.92
1,26.24,25.64,24.87,0.896,0.15
2,25.53,25.68,25.28,1.675,0.23
3,24.17,24.24,24.31,2.445,0.17
4,25.1,24.67,24.75,3.597,0.19
5,24.44,24.34,24.41,2.386,0.28
6,23.36,23.3,23.44,2.538,0.39
7,26.79,26.68,26.73,2.958,0.02
8,23.68,23.36,23.43,3.146,0.13
9,24.2,24.47,24.15,1.94,0.73
10,24.95,24.99,24.79,1.433,0.23
11,23.36,23.3,23.44,2.538,0.61
12,24.07,24.11,23.93,1.584,0.27
13,25.51,25.3,24.85,0.953,0.13
14,22.51,22.82,22.79,1.998,0.94
15,26.83,26.86,26.9,2.409,0.05
16,23.56,23.07,23.23,2.864,0.49
17,24.16,23.59,22.72,0.786,0.38
18,25.27,25.21,25.01,1.233,0.18
19,24.99,25.03,25.09,2.281,0.12
20,24.51,24.56,24.63,2.209,0.56
21,25.82,25.78,25.58,1.373,0.14
22,26.39,26.56,26.36,1.735,0.02
23,25.93,25.97,26.03,2.748,0.26
24,23.73,23.74,23.56,1.533,0.38
25,24.11,24.11,24.12,2.192,0.27
26,24.89,24.5,24.13,1.405,0.3
27,23.9,23.73,24.21,2.495,0.36
28,25.31,25.3,25.15,1.318,0.18
29,23.47,23.29,23.57,2.752,0.3
30,23.68,23.77,23.67,1.362,0.67
31,24.5,24.5,24.49,2.72,0.21
32,25.42,25.5,25.2,1.659,0.13
33,27.58,27.66,27.75,2.111,0.01
34,25.12,24.35,24.3,3.424,0.28
35,23.9,23.1,22.84,0.307,0.22
36,24.94,24.99,25.08,2.062,0.28
37,24.74,24.86,24.78,1.858,0.2
38,23.88,23.85,23.54,1.284,0.31
39,23.36,23.37,23.23,1.318,0.95
40,23.85,23.82,23.43,1.623,0.38
41,24.54,24.62,24.45,1.986,0.39
42,27.15,27.2,27.08,1.245,0.03
43,25.86,25.36,25.39,2.942,0.2
44,23.97,24.12,23.94,1.825,0.57
45,26.87,26.97,26.89,1.399,0.06
46,23.55,23.55,23.62,2.163,0.58
47,23.89,23.96,23.95,2.16,0.36
48,23.36,23.3,23.44,2.538,0.4
49,24.14,23.92,23.71,1.28,0.54
50,23.92,23.93,23.69,1.337,0.52
51,23.63,23.7,23.55,1.581,0.4
52,24.5,24.68,24.48,1.946,0.32
53,23.33,23.42,23.35,1.502,0.39
54,24.66,24.49,24.75,2.406,0.61
55,24.72,24.86,24.68,1.829,0.41
56,23.53,23.53,23.61,2.047,0.36
57,23.97,23.94,24.05,2.788,0.32
58,24.4,24.38,24.13,1.478,0.17
59,24.45,23.34,22.7,0.526,0.48
60,23.55,23.55,23.62,2.163,0.46
61,25.38,25.58,25.35,2.012,0.17
62,24.24,24.0,23.44,0.934,0.27
63,25.66,25.59,25.32,1.106,0.2
64,24.15,24.2,24.04,1.431,0.27
65,24.36,24.04,23.68,1.105,0.38
66,24.7,24.77,24.85,2.171,0.26
67,24.71,24.8,24.74,1.749,0.53
68,24.66,24.71,24.78,1.879,0.09
69,24.0,24.05,24.09,1.768,0.68
70,22.73,22.59,22.6,1.168,0.35
71,24.82,24.58,24.44,1.254,0.18
72,24.73,24.76,24.59,1.241,0.22
73,24.44,24.24,23.92,1.082,0.27
74,26.93,27.3,26.95,1.775,0.05
75,23.66,23.57,23.77,2.431,0.25
76,24.35,23.4,22.82,0.582,0.34
77,23.93,23.85,23.55,1.5,0.35
78,23.25,23.0,23.21,2.865,0.4
79,23.48,23.48,23.57,2.396,0.18
80,22.96,23.0,23.09,2.25,0.78
81,27.86,27.89,28.16,2.547,0.01
82,26.18,26.23,26.3,1.89,0.04
83,23.66,23.88,23.49,1.906,0.45
84,26.51,26.63,26.6,1.804,0.05
85,26.15,25.41,24.55,0.725,0.09
86,27.57,27.71,27.89,3.206,0.01
87,24.2,23.65,23.34,0.571,0.3
88,23.54,23.55,23.64,2.923,0.41
89,24.93,24.99,25.06,2.271,0.4
90,23.85,23.88,23.99,2.254,0.65
91,23.45,23.39,23.19,1.49,0.27
92,24.94,24.99,25.08,2.062,0.18
93,24.2,24.47,24.15,1.94,0.42
94,23.91,23.96,23.9,1.727,0.57
95,24.0,24.05,24.09,1.768,0.43
96,27.78,27.98,28.04,2.083,0.01
97,26.3,26.36,26.39,1.741,0.04
98,23.15,23.15,23.22,2.14,0.31
99,26.06,25.67,25.29,1.11,0.09
100,24.16,23.96,23.66,0.854,0.55
101,23.59,23.16,23.02,1.103,0.49
102,25.43,25.36,25.38,2.676,0.3
103,23.85,23.82,23.43,1.623,0.38
104,25.26,25.23,25.36,2.43,0.15
105,23.24,23.37,23.33,2.108,0.56
106,27.2,27.2,27.24,2.955,0.03
107,26.23,26.15,26.15,2.568,0.05
108,22.53,22.81,22.49,1.749,0.83
109,24.05,24.34,23.97,1.957,0.27
110,24.58,24.44,24.43,3.221,0.35
111,25.31,25.31,25.04,1.513,0.1
112,27.58,27.65,27.73,2.221,0.01
